"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","186949","","","","0"
"2013-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","188340","","","","0"
"2013-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","188368","","","","0"
"2013-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","187834","","","","0"
"2014-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","186924","","","","0"
"2014-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","186802","","","","0"
"2014-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","186130","","","","0"
"2014-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","187930","","","","0"
"2014-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","192070","","","","0"
"2014-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","192805","","","","0"
"2014-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","191371","","","","0"
"2014-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","194020","","","","0"
"2014-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","196036","","","","0"
"2014-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","195276","","","","0"
"2014-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","197395","","","","0"
"2014-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","194673","","","","0"
"2015-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","186321","","","","0"
"2015-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","180652","","","","0"
"2015-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","179657","","","","0"
"2015-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","181766","","","","0"
"2015-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","183577","","","","0"
"2015-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","184971","","","","0"
"2015-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","185059","","","","0"
"2015-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","188747","","","","0"
"2015-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","193511","","","","0"
"2015-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","195864","","","","0"
"2015-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","198721","","","","0"
"2015-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","196897","","","","0"
"2016-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","192659","","","","0"
"2016-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","193606","","","","0"
"2016-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","194435","","","","0"
"2016-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","197350","","","","0"
"2016-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","198379","","","","0"
"2016-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","200146","","","","0"
"2016-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","199767","","","","0"
"2016-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","200445","","","","0"
"2016-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","202099","","","","0"
"2016-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","202981","","","","0"
"2016-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","202119","","","","0"
"2016-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","202292","","","","0"
"2017-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","201609","","","","0"
"2017-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","200944","","","","0"
"2017-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","204282","","","","0"
"2017-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","206929","","","","0"
"2017-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","210442","","","","0"
"2017-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","212835","","","","0"
"2017-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","214537","","","","0"
"2017-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","216364","","","","0"
"2017-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","219260","","","","0"
"2017-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","222304","","","","0"
"2017-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","226783","","","","0"
"2017-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","228167","","","","0"
"2018-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","227536","","","","0"
"2018-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","226965","","","","0"
"2018-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","228631","","","","0"
"2018-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","230789","","","","0"
"2018-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","229593","","","","0"
"2018-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","233223","","","","0"
"2018-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","232067","","","","0"
"2018-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","233172","","","","0"
"2018-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","232477","","","","0"
"2018-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","233668","","","","0"
"2018-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","235220","","","","0"
"2018-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","234303","","","","0"
"2019-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","232800","","","","0"
"2019-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","232054","","","","0"
"2019-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","232847","","","","0"
"2019-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","236109","","","","0"
"2019-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","238228","","","","0"
"2019-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","243422","","","","0"
"2019-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","240290","","","","0"
"2019-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","243185","","","","0"
"2019-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","247457","","","","0"
"2019-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","250952","","","","0"
"2019-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","254507","","","","0"
"2019-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","254133","","","","0"
"2020-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","252036","","","","0"
"2020-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","252151","","","","0"
"2020-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","252186","","","","0"
"2020-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","252342","","","","0"
"2020-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","253540","","","","0"
"2020-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","256290","","","","0"
"2020-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","256390","","","","0"
"2020-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","259900","","","","0"
"2020-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","259515","","","","0"
"2000-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2105","","","","0"
"2000-02","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","1977","","","","0"
"2000-03","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","1698","","","","0"
"2000-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","1864","","","","0"
"2000-05","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","1999","","","","0"
"2000-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2261","","","","0"
"2000-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2731","","","","0"
"2000-08","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2952","","","","0"
"2000-09","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3148","","","","0"
"2000-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2926","","","","0"
"2000-11","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2955","","","","0"
"2000-12","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2829","","","","0"
"2001-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2938","","","","0"
"2001-02","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2882","","","","0"
"2001-03","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2550","","","","0"
"2001-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2399","","","","0"
"2001-05","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2507","","","","0"
"2001-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2876","","","","0"
"2001-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3106","","","","0"
"2001-08","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3226","","","","0"
"2001-09","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3048","","","","0"
"2001-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3081","","","","0"
"2001-11","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3079","","","","0"
"2001-12","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3009","","","","0"
"2002-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2927","","","","0"
"2002-02","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2468","","","","0"
"2002-03","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2188","","","","0"
"2002-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2326","","","","0"
"2002-05","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","2838","","","","0"
"2002-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3339","","","","0"
"2002-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3773","","","","0"
"2002-08","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3870","","","","0"
"2002-09","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3821","","","","0"
"2002-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3880","","","","0"
"2002-11","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4127","","","","0"
"2002-12","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4177","","","","0"
"2003-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3967","","","","0"
"2003-02","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3616","","","","0"
"2003-03","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3473","","","","0"
"2003-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3630","","","","0"
"2003-05","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4008","","","","0"
"2003-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4635","","","","0"
"2003-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","5122","","","","0"
"2003-08","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","5260","","","","0"
"2003-09","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","5089","","","","0"
"2003-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4820","","","","0"
"2003-11","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4621","","","","0"
"2003-12","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4901","","","","0"
"2004-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4473","","","","0"
